alloy_id,reference_id,TME,Ti,Nb,Mo,Zr,Sn,Ta,DEF,TEMP,TIME
427,110,78.5,94.59,5.41,0,0,0,0,0,0,0
428,110,66.5,91.67,8.33,0,0,0,0,0,0,0
429,110,66,90.45,9.55,0,0,0,0,0,0,0
430,110,78.5,88.59,11.41,0,0,0,0,0,0,0
431,110,93.5,81.91,18.09,0,0,0,0,0,0,0
432,110,67,74.43,25.57,0,0,0,0,0,0,0
433,110,67.5,70.35,29.65,0,0,0,0,0,0,0
434,110,74.5,66,34,0,0,0,0,0,0,0
435,110,84,56.41,43.59,0,0,0,0,0,0,0
436,110,72,77.53,22.47,0,0,0,0,0,0,0
437,110,61,74.43,25.57,0,0,0,0,0,0,0
438,110,62,72.83,27.17,0,0,0,0,0,0,0
439,110,65,70.25,29.75,0,0,0,0,0,0,0
440,110,64.3,70.18,29.82,0,0,0,0,0,0,0
441,110,94.61,72.5,0,0,27.5,0,0,0,0,0
442,110,68.2,52.8,17.7,0,29.5,0,0,0,0,0
443,110,59.07,54,26,0,20,0,0,0,0,0
444,110,92.18,53.1,36.5,0,10.4,0,0,0,0,0
445,110,80,84.09,7.79,0,8.12,0,0,0,0,0
446,110,65,67.53,27.61,0,4.86,0,0,0,0,0
447,110,66,72,25,0,3,0,0,0,0,0
448,110,69,71,25,0,4,0,0,0,0,0
449,110,68,69,25,0,6,0,0,0,0,0
450,111,76.97,75,25,0,0,0,0,0,850,1
451,111,69.99,74,25,0,1,0,0,0,850,1
452,111,61.98,73,25,0,2,0,0,0,850,1
453,111,65.98,72,25,0,3,0,0,0,850,1
454,111,69.04,71,25,0,4,0,0,0,850,1
455,111,68.04,69,25,0,6,0,0,0,850,1
464,114,61,57.24,24.45,0,18.31,0,0,0,0,0
466,116,127,97.36,2.64,0,0,0,0,0,600,1
467,116,149,94.59,5.41,0,0,0,0,0,600,1
468,116,114,91.67,8.33,0,0,0,0,0,600,1
469,116,127,88.59,11.41,0,0,0,0,0,600,1
476,118,61.4,80,20,0,0,0,0,0,0,0
477,118,51.3,75,20,0,5,0,0,0,0,0
478,118,47.3,60,20,0,20,0,0,0,0,0
479,118,52.7,50,20,0,30,0,0,0,0,0
480,118,50.5,40,20,0,40,0,0,0,0,0
481,119,65,74.49,25.51,0,0,0,0,0,0,0
482,119,54,43.59,56.41,0,0,0,0,0,0,0
483,119,78,21.12,39.8,0,39.08,0,0,0,0,0
484,119,75,11.5,44.65,0,43.85,0,0,0,0,0
485,119,64,34.6,44.35,0,8.71,0,12.34,0,0,0
487,121,96,38.5,15,8,38.5,0,0,0,0,0
488,121,97,37.5,15,10,37.5,0,0,0,0,0
489,121,104,36,15,13,36,0,0,0,0,0
490,121,105,35,15,15,35,0,0,0,0,0
495,123,66.29,66,26,8,0,0,0,30,800,1
497,124,56,84,16,0,0,0,0,5,850,0.5
498,125,67,72.78,19.34,0,7.88,0,0,0,850,0.5
499,125,67.4,72.86,19.28,0,7.86,0,0,0,850,0.5
500,125,68.2,72.92,19.24,0,7.84,0,0,0,850,0.5
508,126,63.55,45.74,49.72,0,0,4.54,0,0,0,0
509,127,63.55,80.11,14.38,0,1.27,3.92,0.32,0,0,0
510,127,63.55,79.99,14.36,0,1.91,3.42,0.32,0,0,0
511,127,63.55,64.42,18.67,0,16.2,0,0.71,0,0,0
512,127,63.55,63.26,18.72,0,17.66,0,0.36,0,0,0
513,127,63.55,76.02,12.97,0,10.03,0,0.98,0,0,0
514,127,63.55,76.55,9.98,0,9.48,0,3.99,0,0,0
515,127,63.55,72.49,9.97,0,15.56,0,1.98,0,0,0
516,127,63.55,66.12,13.21,0,14.87,5.44,0.36,0,0,0
517,127,63.55,78.17,16.36,0.61,2.56,1.97,0.33,0,0,0
520,129,44,72.85,20.06,3.13,3.96,0,0,75,0,0
521,130,62,57.24,24.45,0,18.31,0,0,0,0,0
522,130,65,54.1,22,0,23.9,0,0,0,0,0
523,130,64,52.58,20.73,0,26.69,0,0,0,0,0
524,130,63,50.26,18.62,0,31.12,0,0,0,0,0
525,131,55.78,76,24,0,0,0,0,0,0,0
526,131,58.75,74,24,0,2,0,0,0,0,0
527,131,59.87,72,24,0,4,0,0,0,0,0
527,131,61,72,24,0,4,0,0,0,300,0.5
528,132,47.1,73.05,21.09,0,4.49,1.37,0,0,0,0
529,133,45,78.72,18.72,0.61,0,1.95,0,0,800,1
530,134,53.4,78.28,21.72,0,0,0,0,0,0,0
531,134,50.7,76.75,21.97,0,1.28,0,0,0,0,0
532,134,51.6,75.18,22.23,0,2.59,0,0,0,0,0
533,134,52.1,73.58,22.49,0,3.93,0,0,0,0,0
534,134,62.9,71.94,22.76,0,5.3,0,0,0,0,0
535,135,65,38,30,0,32,0,0,0,0,0
536,135,62,41,34,0,25,0,0,0,0,0
537,135,58.8,55,35,0,10,0,0,0,0,0
538,135,59.8,60,35,0,5,0,0,0,0,0
539,135,60,57,37,0,6,0,0,0,0,0
540,135,58,60,37,0,3,0,0,0,0,0
541,136,65,81.67,15.24,1.18,0,1.91,0,70,750,1
542,137,55,76,24,0,0,0,0,85,800,1
548,138,73.12,55.01,7.26,0,20.09,0,17.64,0,0,0
549,138,74.98,54.48,4.51,0,22.98,0,18.03,0,0,0
550,138,76.62,53.16,2.28,0,26.04,0,18.52,0,0,0
551,139,113,94.74,0,5.26,0,0,0,0,0,0
552,139,105.17,94.29,0,5.71,0,0,0,0,0,0
553,139,104.47,93.13,0,6.87,0,0,0,0,0,0
554,139,70.48,91.88,0,8.12,0,0,0,0,0,0
555,140,42,71.97,20.14,0,3.25,0,4.64,0,800,1
556,141,48.8,74.87,22.5,0,1.97,0,0.66,0,780,0.5
561,143,65.8,67.8,24.8,0,3.6,0,3.8,0,0,0
562,143,64.2,69.7,22.9,0,3.2,0,4.2,0,0,0
